<Acq date>	TB00001K	TB00002K	TB00003K
16-01-2014_17:44:03.096	14.0	15.5	13.666666666666666
16-01-2014_17:44:35.096	14.0	15.5	13.666666666666666
16-01-2014_17:45:07.096	14.0	15.5	13.666666666666666
16-01-2014_17:45:23.096	14.0	15.5	13.666666666666666
16-01-2014_17:45:39.098	14.0	15.5	13.666666666666666
16-01-2014_17:46:11.096	14.0	15.5	13.666666666666666
16-01-2014_17:46:43.096	14.0	15.5	13.666666666666666
16-01-2014_17:47:15.096	14.0	15.5	13.666666666666666
16-01-2014_17:47:31.096	14.0	16.0	13.666666666666666
16-01-2014_17:47:47.097	14.0	16.0	13.666666666666666
16-01-2014_17:48:19.096	14.0	16.0	13.666666666666666
16-01-2014_17:48:51.096	14.0	16.0	14.0
16-01-2014_17:49:23.096	14.0	16.0	14.0
16-01-2014_17:49:39.096	14.0	16.0	14.0
16-01-2014_17:49:55.097	14.0	16.0	14.0
16-01-2014_17:50:27.096	14.5	16.0	14.0
16-01-2014_17:50:59.096	14.5	16.0	14.0
16-01-2014_17:51:31.096	14.5	16.0	14.0
16-01-2014_17:51:47.096	14.5	16.0	14.0
16-01-2014_17:52:03.097	14.5	16.0	14.0
16-01-2014_17:52:35.095	14.5	16.0	14.0
16-01-2014_17:53:07.095	14.5	16.0	14.5
16-01-2014_17:53:39.095	14.5	16.333333333333332	14.5
16-01-2014_17:53:55.095	14.5	16.333333333333332	14.5
16-01-2014_17:54:11.097	14.5	16.333333333333332	14.5
16-01-2014_17:54:43.095	15.0	16.333333333333332	14.5
16-01-2014_17:55:15.095	15.0	16.333333333333332	14.5
16-01-2014_17:55:47.095	15.0	16.333333333333332	14.5
16-01-2014_17:56:03.095	15.0	16.333333333333332	14.5
16-01-2014_17:56:19.096	15.0	16.333333333333332	14.5
16-01-2014_17:56:51.095	15.0	16.333333333333332	15.0
16-01-2014_17:57:23.095	15.0	16.333333333333332	15.0
16-01-2014_17:57:55.095	15.0	16.333333333333332	15.0
16-01-2014_17:58:11.095	15.0	16.333333333333332	15.0
16-01-2014_17:58:27.096	15.0	16.333333333333332	15.0
16-01-2014_17:58:59.095	15.5	16.666666666666668	15.0
16-01-2014_17:59:31.095	15.5	16.666666666666668	15.0
16-01-2014_18:00:03.095	15.5	16.666666666666668	15.0
16-01-2014_18:00:19.096	15.5	16.666666666666668	15.0
16-01-2014_18:00:35.096	15.5	16.666666666666668	15.0
16-01-2014_18:01:07.094	15.5	16.666666666666668	15.5
16-01-2014_18:01:39.094	15.5	16.666666666666668	15.5
16-01-2014_18:02:11.098	15.5	16.666666666666668	15.5
16-01-2014_18:02:27.094	15.5	16.666666666666668	15.5
16-01-2014_18:02:43.096	16.0	16.666666666666668	15.5
16-01-2014_18:03:15.095	16.0	16.666666666666668	15.5
16-01-2014_18:03:47.094	16.0	17.0	15.5
16-01-2014_18:04:19.094	16.0	17.0	15.5
16-01-2014_18:04:35.094	16.0	17.0	15.5
16-01-2014_18:04:51.095	16.0	17.0	15.5
16-01-2014_18:05:23.094	16.0	17.0	15.5
16-01-2014_18:05:55.094	16.0	17.0	15.5
16-01-2014_18:06:27.094	16.0	17.0	15.5
16-01-2014_18:06:43.094	16.0	17.0	15.5
16-01-2014_18:06:59.095	16.0	17.0	15.5
16-01-2014_18:07:31.094	16.0	17.0	15.5
16-01-2014_18:08:03.094	16.0	17.0	15.5
16-01-2014_18:08:35.093	16.0	17.0	15.5
16-01-2014_18:08:51.093	16.0	17.0	15.5
16-01-2014_18:09:07.095	16.0	17.0	15.5
16-01-2014_18:09:39.093	16.0	17.0	15.5
16-01-2014_18:10:11.093	16.0	17.0	15.5
16-01-2014_18:10:43.093	16.0	17.0	15.5
16-01-2014_18:10:59.093	16.0	17.0	15.5
16-01-2014_18:11:15.094	16.0	17.0	15.5
16-01-2014_18:11:47.093	16.0	16.666666666666668	15.5
16-01-2014_18:12:19.093	16.0	16.666666666666668	15.5
16-01-2014_18:12:51.093	16.0	16.666666666666668	15.5
16-01-2014_18:13:07.093	16.0	16.666666666666668	15.5
16-01-2014_18:13:23.094	16.0	16.666666666666668	15.5
16-01-2014_18:13:55.093	16.0	16.666666666666668	15.5
16-01-2014_18:14:27.093	16.0	16.666666666666668	15.5
16-01-2014_18:14:59.093	16.0	16.666666666666668	15.5
16-01-2014_18:15:15.093	16.0	16.666666666666668	15.5
16-01-2014_18:15:31.094	16.0	16.666666666666668	15.5
16-01-2014_18:16:03.092	16.0	16.666666666666668	15.5
16-01-2014_18:16:35.092	16.0	16.666666666666668	15.5
16-01-2014_18:17:07.092	16.0	16.666666666666668	15.5
16-01-2014_18:17:23.092	16.0	16.666666666666668	15.5
16-01-2014_18:17:39.093	16.0	16.666666666666668	15.5
16-01-2014_18:18:11.092	16.0	16.666666666666668	15.5
16-01-2014_18:18:43.092	16.0	16.666666666666668	15.5
16-01-2014_18:19:15.092	16.0	16.666666666666668	15.5
16-01-2014_18:19:31.092	16.0	16.666666666666668	15.5
16-01-2014_18:19:47.093	16.0	16.666666666666668	15.5
16-01-2014_18:20:19.093	16.0	16.666666666666668	15.5
16-01-2014_18:20:51.092	16.0	16.666666666666668	15.5
16-01-2014_18:21:23.092	16.0	16.666666666666668	15.5
16-01-2014_18:21:39.091	16.0	16.666666666666668	15.5
16-01-2014_18:21:55.093	16.0	16.666666666666668	15.5
16-01-2014_18:22:27.091	16.0	16.666666666666668	15.5
16-01-2014_18:22:59.091	16.0	16.666666666666668	15.5
16-01-2014_18:23:31.091	16.0	16.666666666666668	15.5
16-01-2014_18:23:47.091	16.0	16.666666666666668	15.5
16-01-2014_18:24:03.092	16.0	16.666666666666668	15.5
16-01-2014_18:24:35.091	16.0	16.666666666666668	15.5
16-01-2014_18:25:07.091	16.0	16.666666666666668	15.5
16-01-2014_18:25:39.091	15.5	16.666666666666668	15.5
16-01-2014_18:25:55.091	15.5	16.666666666666668	15.5
16-01-2014_18:26:11.092	16.0	16.666666666666668	15.5
16-01-2014_18:26:43.091	16.0	16.666666666666668	15.5
16-01-2014_18:27:15.091	15.5	16.666666666666668	15.5
16-01-2014_18:27:47.090	15.5	16.666666666666668	15.5
16-01-2014_18:28:03.090	15.5	16.666666666666668	15.5
16-01-2014_18:28:19.092	15.5	16.666666666666668	15.5
16-01-2014_18:28:51.090	15.5	16.666666666666668	15.5
16-01-2014_18:29:23.091	15.5	16.666666666666668	15.5
