<Acq date>	TB00001K	TB00002K	TB00003K
13-01-2014_01:20:35.611	14.5	16.333333333333332	14.0
13-01-2014_01:21:07.611	14.5	16.333333333333332	14.5
13-01-2014_01:21:39.611	14.5	16.333333333333332	14.5
13-01-2014_01:21:55.611	14.5	16.333333333333332	14.0
13-01-2014_01:22:11.616	14.5	16.333333333333332	14.0
13-01-2014_01:22:43.611	14.5	16.333333333333332	14.0
13-01-2014_01:23:15.610	14.5	16.333333333333332	14.0
13-01-2014_01:23:47.610	14.5	16.333333333333332	14.0
13-01-2014_01:24:03.610	14.5	16.333333333333332	14.0
13-01-2014_01:24:19.612	14.5	16.333333333333332	14.0
13-01-2014_01:24:51.610	14.5	16.333333333333332	14.0
13-01-2014_01:25:23.610	14.5	16.333333333333332	14.0
13-01-2014_01:25:55.610	14.5	16.333333333333332	14.0
13-01-2014_01:26:11.610	14.5	16.333333333333332	14.0
13-01-2014_01:26:27.612	14.5	16.333333333333332	14.0
13-01-2014_01:26:59.610	14.5	16.333333333333332	14.0
13-01-2014_01:27:31.610	14.5	16.333333333333332	14.0
13-01-2014_01:28:03.610	14.5	16.333333333333332	14.0
13-01-2014_01:28:19.610	14.5	16.333333333333332	14.0
13-01-2014_01:28:35.611	14.5	16.333333333333332	14.0
13-01-2014_01:29:07.610	14.5	16.0	14.0
13-01-2014_01:29:39.610	14.5	16.333333333333332	14.0
13-01-2014_01:30:11.610	14.5	16.333333333333332	14.0
13-01-2014_01:30:27.610	14.5	16.333333333333332	14.0
13-01-2014_01:30:43.611	14.5	16.333333333333332	14.0
13-01-2014_01:31:15.610	14.5	16.333333333333332	14.0
13-01-2014_01:31:47.610	14.5	16.333333333333332	14.0
13-01-2014_01:32:19.610	14.5	16.333333333333332	14.0
13-01-2014_01:32:35.610	14.5	16.0	14.0
13-01-2014_01:32:51.611	14.5	16.333333333333332	14.0
13-01-2014_01:33:23.610	14.5	16.333333333333332	14.0
13-01-2014_01:33:55.610	14.5	16.333333333333332	14.0
13-01-2014_01:34:27.610	14.5	16.0	14.0
13-01-2014_01:34:43.610	14.5	16.0	14.0
13-01-2014_01:34:59.611	14.5	16.0	14.0
13-01-2014_01:35:31.609	14.5	16.333333333333332	14.0
13-01-2014_01:36:03.609	14.5	16.0	14.0
13-01-2014_01:36:35.609	14.5	16.0	14.0
13-01-2014_01:36:51.609	14.5	16.333333333333332	14.0
13-01-2014_01:37:07.611	14.5	16.0	14.0
13-01-2014_01:37:39.609	14.5	16.0	14.0
13-01-2014_01:38:11.610	14.5	16.0	14.0
13-01-2014_01:38:43.609	14.5	16.333333333333332	14.0
13-01-2014_01:38:59.609	14.5	16.0	14.0
13-01-2014_01:39:15.611	14.5	16.0	14.0
13-01-2014_01:39:47.609	14.5	16.0	14.0
13-01-2014_01:40:19.610	14.5	16.0	14.0
13-01-2014_01:40:51.609	14.5	16.0	14.0
13-01-2014_01:41:07.609	14.5	16.0	14.0
13-01-2014_01:41:23.610	14.5	16.0	14.0
13-01-2014_01:41:55.609	14.5	16.0	14.0
13-01-2014_01:42:27.609	14.5	16.0	14.0
13-01-2014_01:42:59.609	14.5	16.0	14.0
13-01-2014_01:43:15.609	14.5	16.0	14.0
13-01-2014_01:43:31.611	14.5	16.0	14.0
13-01-2014_01:44:03.609	14.5	16.0	14.0
13-01-2014_01:44:35.609	14.5	16.0	14.0
13-01-2014_01:45:07.609	14.5	16.0	14.0
13-01-2014_01:45:23.609	14.5	16.0	14.0
13-01-2014_01:45:39.610	14.5	16.0	14.0
13-01-2014_01:46:11.609	14.5	16.0	14.0
13-01-2014_01:46:43.609	14.5	16.0	14.0
13-01-2014_01:47:15.609	14.5	16.0	14.0
13-01-2014_01:47:31.609	14.5	16.0	14.0
13-01-2014_01:47:47.610	14.5	16.0	14.0
13-01-2014_01:48:19.609	14.5	16.0	14.0
13-01-2014_01:48:51.609	14.5	16.0	14.0
13-01-2014_01:49:23.609	14.5	16.0	14.0
13-01-2014_01:49:39.609	14.5	16.0	14.0
13-01-2014_01:49:55.610	14.5	16.0	14.0
13-01-2014_01:50:27.609	14.0	16.0	14.0
13-01-2014_01:50:59.609	14.5	16.0	14.0
13-01-2014_01:51:31.609	14.0	16.0	14.0
13-01-2014_01:51:47.609	14.0	16.0	14.0
13-01-2014_01:52:03.610	14.0	16.0	14.0
13-01-2014_01:52:35.609	14.0	16.0	14.0
13-01-2014_01:53:07.609	14.0	16.0	14.0
13-01-2014_01:53:39.609	14.0	16.0	14.0
13-01-2014_01:53:55.609	14.0	16.0	14.0
13-01-2014_01:54:11.610	14.0	16.0	14.0
13-01-2014_01:54:43.609	14.0	16.0	14.0
13-01-2014_01:55:15.609	14.0	16.0	14.0
13-01-2014_01:55:47.609	14.0	16.0	14.0
13-01-2014_01:56:03.608	14.0	16.0	14.0
13-01-2014_01:56:19.610	14.0	16.0	14.0
13-01-2014_01:56:51.608	14.0	16.0	14.0
13-01-2014_01:57:23.608	14.0	16.0	14.0
13-01-2014_01:57:55.608	14.0	16.0	14.0
13-01-2014_01:58:11.608	14.0	16.0	14.0
13-01-2014_01:58:27.610	14.0	16.0	14.0
13-01-2014_01:58:59.608	14.0	16.0	14.0
13-01-2014_01:59:31.608	14.0	16.0	14.0
13-01-2014_02:00:03.608	14.0	16.0	14.0
13-01-2014_02:00:19.609	14.0	16.0	14.0
13-01-2014_02:00:35.610	14.0	16.0	14.0
13-01-2014_02:01:07.608	14.0	16.0	14.0
13-01-2014_02:01:39.608	14.0	16.0	14.0
13-01-2014_02:02:11.612	14.0	16.0	14.0
13-01-2014_02:02:27.608	14.0	16.0	14.0
13-01-2014_02:02:43.610	14.0	16.0	14.0
